궁금한데,"국적법에 대한 생각 좀 알려주라 중국 로켓이슈나

개인적으로는 국적법 에바라고 생각하거든

친구들한테 물어보기엔 괜히 깨어있는 척 하고 아는 척한다고 뭐라 들을까봐

그냥 생각만 알려주라 의견이 궁금해서",['에바임']
중국좋아요,훠,"['화교들 일부러 중국국적 유지하지않나... 아 땅팔아야지', '국내 화교는 민국 (현 대만) 국적 아닌가. 요즘은 중공 국적 가진 사람도 화교라고 부르나.', '그런듯. 상식적으로 우리나라 영주권 가진 외국인의 95%가 대만 국적이라고 보기는 힘들듯. 조선족만 봐도.', '아니 근데 영주권을 막 주는 것도 아닌데 조선족 제외 중공 사람 자녀 비율이 저렇게 높을 수가 있나?', '한국에서 태어난 화교들은 중국국적이 많은듯', '훠훠']"
북한이 고난의행군 한다네,"대중국수출도 9할이상 줄었다던데
이러다 얼결에 흡수통일하는거 아니냐","['북한 수출은 0퍼센트 수준이던데 현대국가가 이상태로 유지가됨?', '어차피 대깨문이 다 먹여살릴건데 고난의 행군이 오래가겠나', '그래서 세금을 많이걷나 요즘']"
지금 정부는,"현 20대한테 무력감만 미친듯이 안겨주네..
출산율 낮아지는 건 알았는데 부동산, 남녀갈등, 기성세대의 꼰대짓이 진짜 크게 일조한듯
출산율 최저점 찍고 중국한테 나라 갖다 받칠 생각만 하는 걸까.. 진짜 머릿속이 궁금하다","['나는 그런상황에도 지지하는 사람들이 궁금하던데 민주당이 절대선이라고 생각하는사람들 ㅋㅋㅋㅋㅋ', '나는 여태껏 어떤 정당이나 이념을 딱히 지지한 적 없었는데 그냥 앞으로 대한민국에서 살아갈 거 생각하면 현정부를 지지할 수가 없음', '출산률 계속 낮춰~ 그게 유일하게 엿먹이는 길이야']"
그 당이 제일 역겨웠던 때,"2020 총선때 되니까 갑자기 k방역 외치면서 우리나라가 전세계에서 방역 선진국이 되더라
실상은 중국 입국도 안막아서 코로나 제일빨리퍼진 국가였는데
그때 언론플레이 하는거 보고 진짜 걸러야겠다 생각함","['역대급으로 언론플레이 잘하는듯', '근데 궁금한 게 언론플레이 존나 잘하는데 왜 자꾸 언론개혁 하자는거임??', '언론개혁? 김어준 뉴스공장을 공중파로 만들잖거지', '심영이 하던 공산당 늬우스 만들고 싶어서?']"
중국산 백신 시노백 검토예정,그렇다고 합니다,"['시노백 관련주가 뭐있죠?', '아무리 그래도 시노벡은;; 차라리 얀센을 고려하지.']"
벨기에 대사 부인이 중국인인데,옷가게에서 한국인 직원 뺨 때림,"['착짱죽짱이지 뭐...', '중국인들은 확실히 유전자 안에 민폐와 관련된 그런게 있나 봄', 'ㅇㅇ 학교에서 중국인유학생만 봐도 답나옴', '중국인들은 이제 사람처럼 보이지 않음', '진화가 덜 된 인류라고 보는게 맞아.. 유인원30% + 인간70% = 중국인', '70도 많이 쳐준거임', '그래도 언어라도 구사하니까 70쳐준거..', 'ㅋㅋㅋ 중국어 자체도 확실히 요즘 인류가 쓰는 언어같지 않음', '다른 나라에 비해 민폐 끼치는 사람들 비율이 꽤나 높은 것 같음 물론 정상인들도 많겠지만', '벨기에란 나라도 정상은 아님']"
난 정말 정치에 관심이 없어서 모르겠는데,문재인이 욕먹는거야? 집값 오르는 거랑 북한/중국한테 아무소리 못하는 것 때문에??,"['그거 두개로도 욕 쳐먹지..', '개인적으론 백신 입만털다 결국 접종률 2.2퍼따리 난것도 크다고 생각', '정치관련 모든 분야에서 다 씹망함', '외교 ㅈ망', '새벽에 청문회한거 그거 박정희때 이후 처음임', '나 강남 개포동 재건축 예정인 곳 사는데 2018년 집값이 14억이고 현 집값은 25억임. 그렇다고 우리집의 삶의질이 나아졌는가? 전혀 아님. 집 팔 생각도 없고 재건축하면 재건축 끝날때까진 이사가야하는데 서울 전세도 폭등해서 어디 가기도 애매하고 집값 오른거로 세금은 또 오지게 떼감. 강남 유주택자도 이런 상황인데 무주택자는 집 영원히 못 사게 생겼고 이 정권 수혜자가 누군지 모르겠음', '거기에 인국공 사태나 조국부터 해서 불공정한 모습을 계속 보여주고 사회를 갈라치기 하려함. 간호사/의사나 남자/여자 이런 식으로ㅋㅋㅋ 거기에 코로나 백신도 못 챙겨서 접종률 3프로도 안나옴']"
진짜 줄 잘 서야할 타이밍 같은데..,"미국은 반중 epn이니 G10이니 하는데

기존 G7국가들 입장에선 확장에 적극적일 이유도 없고

그 중에서도 일본은 콕 찝어서 한국의 대중국, 북한 태도에 미적지근하다는 이유로 확대 반대하고 있는데

그걸 명분을 주고 앉있으니 진짜...",['줄을 서고 말고 애초에 중국이랑 같이 갈수가 없어. 국가 기본체제가 다른데']
애초에 옳고 그름은 중요치 않아,"애초에 옳고 그름은 중요하지 않아

그냥 이 나라에서 좌파가 집권하는게 중요한거야

민주당애들이 앞에서 페미선언하고 뒤에서 성추행해도

위안부 할머님들 통수치고 후원금 빼돌려도

앞에서는 정의의 이름으로 상대진영 패면서 뒤로는 지 가족들한테 온갖 불법 특혜주면서 사리사욕 챙겨도

앞에서는 외노자, 조선족, 저소득층과 더불어 살아야 한다면서 정작 지들은 강남3구 마용성 살아도

실체도 없는 투기꾼 탓하면서 잘못된 정책으로 집값 폭등시켜도

야당일땐 증세정책 신나게 까놓고 지금은 몇배나 많이 증세해도

혈세로 현금살포하면서 지들 돈인양 생색내도

54조원 허공에 날리고 취업시장 박살내도

실체도 없는 K방역이니 뭐니 꼴갑떨다가 백신 확보 뒤쳐져도

중국발 미세먼지 관련해서 중국에 말한마디 못하고 국민들 폐병걸려도

남녀갈등 부추기면서 사회 분열시키고 출산율 폭망해도

지금까지 집권하면서 제대로 이룬게 없으니, 선거철만 되면 정책 얘기는 뒷전에 네거티브만 주구장창해도

잘한건 문정권, 여당 덕분이라 하고, 사회문제는 언론, 야당, 투기꾼 탓하면 되는거야

우덜 잘못 조목조목 비판하는 글은 싹 무시하고 그냥 가끔씩 에브리타임 들러서 '우파 극혐...' 지껄이면 되는거야

마찬가지로 자신들의 정책이 정말 국민들에게 도움이 되는지 아닌지는 중요하지 않아

그냥 여론만들고 정신승리하는게 중요한거야

왜냐? 비록 대가리가 깨진채로 태어나서 뇌수가 흐르고 있지만, 그래도 무조건 좌파가 이기는게 중요하거든

나라를 중국, 북한에 대놓고 갖다바쳐도 민주당 지지할 애들이야

그냥 원래 그런 애들이야",['진실은 중요하지 않지 괴벨스가 어떻게 독일 국민들을 다뤘는지만 봐도...']
